name,score,level
Alice,92,5
Bob,88,4
Charlie,95,6
Dave,81,3
Eve,99,5
Frank,74,2
Grace,85,4
Laura,96,6
Heidi,91,5
Ivan,77,3
Judy,89,4
Karl,83,3
Mallory,72,2
Niaj,80,3
Olivia,94,5
Peggy,78,3
Quentin,82,4
Rupert,87,4
Sybil,90,5
Trudy,75,2
Uma,88,4
Victor,90,5
Wendy,84,3
Xavier,93,6
Zack,86,3
Yvonne,91,4
Ann,85,4
Ben,92,5
Cathy,87,3
Dan,89,4
Ella,83,3
Finn,95,6
Gina,78,2
Hank,80,3
Ivy,94,5
Jack,79,3
Kara,82,4
Leo,88,4
Mia,91,5
Nora,76,2
Owen,84,3
Ursula,83,4
Paul,96,6
Quinn,73,2
Ralph,81,3
Sara,95,5
Tom,78,3
Vince,87,4
Will,90,5
Zoe,75,2

